mhd-term-id,mhd-term,mtbls-st4c,mtbls-term-id,mtbls-term,mw,instance-of
MS_1002582,QTRAP 6500+,AB SCIEX QTRAP 6500+,MTBLS_002299,AB SCIEX QTRAP 6500+,ABI Sciex 6500+ QTrap,Mass spectrometry instrument
MS_1002583,TripleTOF 4600,AB SCIEX TripleTOF 4600,MTBLS_002040,AB SCIEX TripleTOF 4600,,Mass spectrometry instrument
MS_1002584,TripleTOF 5600+,AB SCIEX TripleTOF 5600+,MTBLS_000602,AB SCIEX TripleTOF 5600+,ABI Sciex 5600+ TripleTOF,Mass spectrometry instrument
MS_1002585,API 100,,,,,Mass spectrometry instrument
MS_1002586,API 100LC,,,,,Mass spectrometry instrument
MS_1002587,API 165,,,,,Mass spectrometry instrument
MS_1002588,API 300,,,,,Mass spectrometry instrument
MS_1002589,API 350,,,,,Mass spectrometry instrument
MS_1002590,API 365,,,,,Mass spectrometry instrument
MS_1002591,Triple Quad 3500,,,,,Mass spectrometry instrument
MS_1002592,Triple Quad 4500,,,,,Mass spectrometry instrument
MS_1002593,Triple Quad 5500,AB SCIEX Triple Quad 5500,MTBLS_000600,AB SCIEX Triple Quad 5500,,Mass spectrometry instrument
MS_1002594,Triple Quad 6500,AB SCIEX Triple Quad 6500,MTBLS_002038,AB SCIEX Triple Quad 6500,,Mass spectrometry instrument
MS_1002595,Triple Quad 6500+,AB SCIEX Triple Quad 6500+,MTBLS_002039,AB SCIEX Triple Quad 6500+,ABI Sciex Triple Quad 6500+,Mass spectrometry instrument
MS_1002634,Q Exactive Plus,Thermo Q Exactive Plus Orbitrap; Thermo Scientific Q Exactive Plus,MTBLS_000661,Thermo Scientific Q Exactive Plus,Thermo Q Exactive Plus Orbitrap,Mass spectrometry instrument
MS_1002666,impact II,Bruker impact II UHR-TOF,MTBLS_000627,Bruker impact II UHR-TOF,Bruker Impact II,Mass spectrometry instrument
MS_1002667,impact HD,Bruker impact HD UHR-TOF,MTBLS_002113,Bruker impact HD UHR-TOF,Bruker Impact HD,Mass spectrometry instrument
MS_1002674,X500R QTOF,AB SCIEX TripleTOF X500R,,,ABI Sciex X500R QTOF,Mass spectrometry instrument
MS_1002719,Pegasus BT,LECO Pegasus BT TOFMS,MTBLS_001022,LECO Pegasus BT TOFMS,Leco Pegasus BT,Mass spectrometry instrument
